画面名 (JP),API List,Business Flow,Giải thích tính năng,Menu,Remark ,Screen (VI),Screen ID,Status,Sub menu,System,Thông tin hiển thị trên màn hình,URL,Wireframe list,サブメニュー,システム,メニュー,機能説明,画面表示情報
請求書初期値設定,"MO-BILL-010-API-01-Get Billing Default Setting (https://www.notion.so/MO-BILL-010-API-01-Get-Billing-Default-Setting-36bf02c407dd80e482e3cd0b1d2e37b5?pvs=21), MO-BILL-010-API-02-Update Billing Default Setting (https://www.notion.so/MO-BILL-010-API-02-Update-Billing-Default-Setting-36bf02c407dd80e5ad5ed636d60dc762?pvs=21)",,Thiết lập default value cho invoice generation.,Billing Management,,Billing Default Setting,MO-BILL-010,Not started,,MOTO Portal,"Default tax rate, default bank account, default footer text, invoice format",/moto/billing/default-settings,,,派遣元ポータル,請求管理,請求書生成時の初期値を設定する。,デフォルト税率、振込先口座、請求書フッター、帳票フォーマット
契約書初期値設定,"MO-SET-010-API-01-Get Contract Default Setting (https://www.notion.so/MO-SET-010-API-01-Get-Contract-Default-Setting-36bf02c407dd80f786acea7c580dedb7?pvs=21), MO-SET-010-API-02-Update Contract Default Setting (https://www.notion.so/MO-SET-010-API-02-Update-Contract-Default-Setting-36bf02c407dd805c9c29e868543136b2?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập default contract values và wording.,Company Settings,,Contract Default Setting,MO-SET-010,Not started,,MOTO Portal,"Default contract period, OT rule, default memo, contract wording",/moto/settings/contract-defaults,,,派遣元ポータル,企業設定,契約書の初期値および文言を設定する。,デフォルト契約期間、残業条件、備考、契約文言
ファイルレイアウト設定,"MO-SET-011-API-01-Upload File Layout Setting (https://www.notion.so/MO-SET-011-API-01-Upload-File-Layout-Setting-36bf02c407dd80978054f6349e98b078?pvs=21), MO-SET-011-API-02-Get Upload Result (https://www.notion.so/MO-SET-011-API-02-Get-Upload-Result-36bf02c407dd80a888afc2a9f6dc7315?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập mapping column cho CSV upload/download.,Company Settings,,File Layout Setting,MO-SET-011,Not started,,MOTO Portal,"File type, column mapping, required column flag",/moto/settings/file-layouts,,,派遣元ポータル,企業設定,CSVアップロード・ダウンロードの列定義を設定する。,ファイル種別、列マッピング、必須項目フラグ
派遣先一覧,MO-SAKI-001-API-01-Export Client List (https://www.notion.so/MO-SAKI-001-API-01-Export-Client-List-36bf02c407dd806e924ad2d838743d0b?pvs=21),,Danh sách các 派遣先 đang giao dịch/kết nối với MOTO. Hỗ trợ search/filter/detail/export.,Client Management,,Client List,MO-SAKI-001,Not started,,MOTO Portal,"Tên công ty, trạng thái giao dịch, số contract active, số request active, billing status",/moto/clients,,,派遣元ポータル,派遣先管理,取引中の派遣先企業一覧を表示し、検索・絞込・詳細参照・CSV出力を行う。,会社名、取引状態、稼働契約数、進行中派遣照会数、請求状態
派遣先詳細,MO-SAKI-002-API-01-Get Client Detail (https://www.notion.so/MO-SAKI-002-API-01-Get-Client-Detail-36bf02c407dd80d99a77eef54479882b?pvs=21),,Xem chi tiết 派遣先 và lịch sử giao dịch.,Client Management,,Client Detail,MO-SAKI-002,Not started,,MOTO Portal,"Company profile, active contracts, request history, billing history, attendance status",/moto/clients/:id,,,派遣元ポータル,派遣先管理,派遣先企業の詳細情報および取引履歴を表示する。,会社情報、稼働契約、派遣照会履歴、請求履歴、勤怠状況
派遣先契約一覧,MO-SAKI-003-API-01-Get Client Contract List (https://www.notion.so/MO-SAKI-003-API-01-Get-Client-Contract-List-36bf02c407dd80cbb725c4124fbc3c4e?pvs=21),,Danh sách contract theo 派遣先.,Client Management,,Client Contract List,MO-SAKI-003,Not started,,MOTO Portal,"Contract No, staff count, contract period, billing amount",/moto/clients/:id/contracts,,,派遣元ポータル,派遣先管理,派遣先ごとの契約一覧を表示する。,契約番号、スタッフ人数、契約期間、請求金額
派遣照会履歴,MO-SAKI-004-API-01-Get Client Request History (https://www.notion.so/MO-SAKI-004-API-01-Get-Client-Request-History-36bf02c407dd80ce8f28c951d804e385?pvs=21),,Lịch sử staffing request từ 派遣先.,Client Management,,Client Request History,MO-SAKI-004,Not started,,MOTO Portal,"Request count, response status, created datetime",/moto/clients/:id/requests,,,派遣元ポータル,派遣先管理,派遣先からの派遣照会履歴を表示する。,派遣照会件数、回答状態、作成日時
取引派遣先設定,"MO-SAKI-005-API-01-Get Trading Client Setting (https://www.notion.so/MO-SAKI-005-API-01-Get-Trading-Client-Setting-36bf02c407dd80608545dbca79712ac8?pvs=21), MO-SAKI-005-API-02-Update Trading Client Setting (https://www.notion.so/MO-SAKI-005-API-02-Update-Trading-Client-Setting-36bf02c407dd80879a6ceb01cda768bf?pvs=21)",,Enable/disable/config 派遣先 usage.,Client Management,,Trading Client Setting,MO-SAKI-005,Not started,,MOTO Portal,"Connection status, available features, notification setting",/moto/clients/:id/settings,,,派遣元ポータル,派遣先管理,派遣先との取引設定を管理する。,接続状態、利用機能、通知設定
一時保存契約から作成,MO-CON-020-API-01-Create Draft Contract Restore (https://www.notion.so/MO-CON-020-API-01-Create-Draft-Contract-Restore-36bf02c407dd8087b322dd879a524eeb?pvs=21),契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21),Khôi phục contract draft đã lưu và tiếp tục tạo contract.,Contract Management,,Draft Contract Restore,MO-CON-020,Not started,,MOTO Portal,"Draft contract list, updated datetime, draft creator, draft status",/moto/contracts/drafts,,,派遣元ポータル,契約管理,一時保存された契約ドラフトから契約作成を作成する,下書き契約一覧、更新日時、作成者、状態
アップロードで延長する,"MO-CON-021-API-01-Upload Contract Extension Upload (https://www.notion.so/MO-CON-021-API-01-Upload-Contract-Extension-Upload-36bf02c407dd80259368e4a44d90a81d?pvs=21), MO-CON-021-API-02-Get Upload Result (https://www.notion.so/MO-CON-021-API-02-Get-Upload-Result-36bf02c407dd805e85bfcdfb1511065e?pvs=21)",,Upload file để bulk extend contracts.,Contract Management,,Contract Extension Upload,MO-CON-021,Not started,,MOTO Portal,"Upload file, validation result, target contracts, process status",/moto/contracts/extensions/upload,,,派遣元ポータル,契約管理,契約延長情報をファイルアップロードで一括処理する。,アップロードファイル、検証結果、対象契約、処理状態
アップロードで修正する,"MO-CON-022-API-01-Upload Contract Revision Upload (https://www.notion.so/MO-CON-022-API-01-Upload-Contract-Revision-Upload-36bf02c407dd80af81aacbb1371c84a3?pvs=21), MO-CON-022-API-02-Get Upload Result (https://www.notion.so/MO-CON-022-API-02-Get-Upload-Result-36bf02c407dd8077b1a3d34e3ab90c36?pvs=21)",契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21),Upload file để bulk revise contracts.,Contract Management,,Contract Revision Upload,MO-CON-022,Not started,,MOTO Portal,"Upload file, revision target, validation error, result status",/moto/contracts/revisions/upload,,,派遣元ポータル,契約管理,契約修正情報をファイルアップロードで一括処理する。,アップロードファイル、修正対象、検証エラー、結果状態
営業担当者削除,MO-CON-023-API-01-Delete/Cancel Sales PIC Delete (https://www.notion.so/MO-CON-023-API-01-Delete-Cancel-Sales-PIC-Delete-36bf02c407dd80c8b173f2f36680faa0?pvs=21),,Xóa sales PIC khỏi contract/client mapping.,Contract Management,,Sales PIC Delete,MO-CON-023,Not started,,MOTO Portal,"PIC name, assigned contracts, delete status",/moto/contracts/sales-pic/delete,,,派遣元ポータル,契約管理,契約・取引先に紐づく営業担当者を削除する。,担当者名、対象契約、削除状態
未提出契約一覧,MO-CON-024-API-01-Submit/Process Unsubmitted Contract List (https://www.notion.so/MO-CON-024-API-01-Submit-Process-Unsubmitted-Contract-List-36bf02c407dd8043854df8e94157e980?pvs=21),契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21),Danh sách contract chưa submit hoặc pending submit.,Contract Management,,Unsubmitted Contract List,MO-CON-024,Not started,,MOTO Portal,"Contract No, draft status, created user, created datetime",/moto/contracts/unsubmitted,,,派遣元ポータル,契約管理,未提出契約一覧を表示する。,契約番号、下書き状態、作成者、作成日時
シフト参照,MO-ATT-020-API-01-Get Shift Reference (https://www.notion.so/MO-ATT-020-API-01-Get-Shift-Reference-36bf02c407dd800f9118efa0773f27aa?pvs=21),,Xem shift của contract/staff.,Attendance Management,,Shift Reference,MO-ATT-020,Not started,,MOTO Portal,"Shift date, shift type, assigned staff, workplace",/moto/attendance/shifts,,,派遣元ポータル,勤怠管理,契約・スタッフ別シフト情報を参照する。,シフト日、シフト区分、スタッフ、就業場所
予定参照,MO-ATT-021-API-01-Get Schedule Reference (https://www.notion.so/MO-ATT-021-API-01-Get-Schedule-Reference-36bf02c407dd806d9b8fec589db8e503?pvs=21),,Xem work schedules/planned attendance.,Attendance Management,,Schedule Reference,MO-ATT-021,Not started,,MOTO Portal,"Schedule date, planned hours, assigned contract",/moto/attendance/schedules,,,派遣元ポータル,勤怠管理,勤務予定情報を参照する。,予定日、予定時間、対象契約
日々勤怠DL,MO-ATT-022-API-01-Export Daily Attendance Export (https://www.notion.so/MO-ATT-022-API-01-Export-Daily-Attendance-Export-36bf02c407dd803785adf18f76be6a8f?pvs=21),,Export daily attendance report.,Attendance Management,,Daily Attendance Export,MO-ATT-022,Not started,,MOTO Portal,"Export condition, target period, export history",/moto/attendance/export/daily,,,派遣元ポータル,勤怠管理,日次勤怠データを出力する。,出力条件、対象期間、出力履歴
勤怠集計DL,MO-ATT-023-API-01-Export Monthly Attendance Summary Export (https://www.notion.so/MO-ATT-023-API-01-Export-Monthly-Attendance-Summary-Export-36bf02c407dd804582d9f79d571bd6ed?pvs=21),,Export monthly attendance summary.,Attendance Management,,Monthly Attendance Summary Export,MO-ATT-023,Not started,,MOTO Portal,"Monthly hours, overtime summary, attendance totals",/moto/attendance/export/summary,,,派遣元ポータル,勤怠管理,月次勤怠集計データを出力する。,月間労働時間、残業集計、勤怠合計
締め承認済勤怠DL,MO-ATT-024-API-01-Export Approved Attendance Export (https://www.notion.so/MO-ATT-024-API-01-Export-Approved-Attendance-Export-36bf02c407dd8087912ec1f1ff3f0453?pvs=21),,Export approved/closed attendance records.,Attendance Management,,Approved Attendance Export,MO-ATT-024,Not started,,MOTO Portal,"Approved attendance records, closing month, approval status",/moto/attendance/export/approved,,,派遣元ポータル,勤怠管理,締め承認済み勤怠データを出力する。,承認済勤怠、締め月、承認状態
請求書確定,MO-BILL-020-API-01-Submit/Process Invoice Finalize (https://www.notion.so/MO-BILL-020-API-01-Submit-Process-Invoice-Finalize-36bf02c407dd80b1a99dd20bcd9e0533?pvs=21),,Finalize invoice trước khi submit cho SAKI.,Billing Management,,Invoice Finalize,MO-BILL-020,Not started,,MOTO Portal,"Invoice amount, tax amount, finalize datetime",/moto/billing/:id/finalize,,,派遣元ポータル,請求管理,請求書を確定する。,請求金額、税額、確定日時
請求書提出,MO-BILL-021-API-01-Submit/Process Invoice Submit (https://www.notion.so/MO-BILL-021-API-01-Submit-Process-Invoice-Submit-36bf02c407dd80279936d9cc8b69fef4?pvs=21),,Submit finalized invoice cho SAKI.,Billing Management,,Invoice Submit,MO-BILL-021,Not started,,MOTO Portal,"Submit status, submit datetime, notification result",/moto/billing/:id/submit,,,派遣元ポータル,請求管理,確定済み請求書を派遣先へ提出する。,提出状態、提出日時、通知結果
請求明細勤怠参照,MO-BILL-022-API-01-Get Invoice Attendance Reference (https://www.notion.so/MO-BILL-022-API-01-Get-Invoice-Attendance-Reference-36bf02c407dd807a8d7cfe1127cf6e51?pvs=21),,Xem attendance linked với invoice detail.,Billing Management,,Invoice Attendance Reference,MO-BILL-022,Not started,,MOTO Portal,"Invoice detail, attendance detail, overtime calculation",/moto/billing/:id/attendance,,,派遣元ポータル,請求管理,請求明細に紐づく勤怠実績を参照する。,請求明細、勤怠実績、残業計算
取引先企業一覧,,,Danh sách công ty/SAKI dùng e-TimeCard.,e-TimeCard(対象外),,Client Company Master List,MO-ETC-002,Not started,,MOTO Portal,"Company name, domain, active contracts, approval status",/moto/e-timecard/companies,,,派遣元ポータル,e-TimeCard,e-TimeCard利用取引先一覧を表示する。,会社名、ドメイン、契約数、承認状態
請求書送付先設定,"MO-SET-020-API-01-Get Billing Destination Setting (https://www.notion.so/MO-SET-020-API-01-Get-Billing-Destination-Setting-36bf02c407dd8016bbfcc197d546c69e?pvs=21), MO-SET-020-API-02-Update Billing Destination Setting (https://www.notion.so/MO-SET-020-API-02-Update-Billing-Destination-Setting-36bf02c407dd8033947bcb4141f909d6?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập địa chỉ/mail nhận invoice hệ thống.,Company Settings,,Billing Destination Setting,MO-SET-020,Not started,,MOTO Portal,"Billing destination company, address, receiver email",/moto/settings/billing-destination,,,派遣元ポータル,企業設定,システム利用料金請求書の送付先を設定する。,請求先会社、住所、送信先メール
ユーザー編集可能項目設定,"MO-SET-021-API-01-Get Editable User Field Setting (https://www.notion.so/MO-SET-021-API-01-Get-Editable-User-Field-Setting-36bf02c407dd80adb61fc119e308c17f?pvs=21), MO-SET-021-API-02-Update Editable User Field Setting (https://www.notion.so/MO-SET-021-API-02-Update-Editable-User-Field-Setting-36bf02c407dd8021bd48d317ba18726f?pvs=21)",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),Thiết lập field nào user được edit.,Company Settings,,Editable User Field Setting,MO-SET-021,Not started,,MOTO Portal,"Editable fields, role mapping, restriction rules",/moto/settings/user-editable-fields,,,派遣元ポータル,企業設定,ユーザー編集可能項目を設定する。,編集可能項目、権限設定、制限制御
追加導入手続き,MO-OTH-020-API-01-Get Additional Onboarding Procedure (https://www.notion.so/MO-OTH-020-API-01-Get-Additional-Onboarding-Procedure-36bf02c407dd80fd95ecfb7eeb9aa081?pvs=21),,Thực hiện thủ tục onboarding/additional setup.,Settings,,Additional Onboarding Procedure,MO-OTH-020,Not started,,MOTO Portal,"Setup status, onboarding step, agreement status",/moto/onboarding/procedure,,,派遣元ポータル,設定,追加導入手続きを行う。,導入状態、手続きステップ、契約状態
導入準備状況,MO-OTH-021-API-01-Get Onboarding Preparation Status (https://www.notion.so/MO-OTH-021-API-01-Get-Onboarding-Preparation-Status-36bf02c407dd80b2b337f44cbf6fdff9?pvs=21),,Dashboard trạng thái onboarding/setup.,Settings,,Onboarding Preparation Status,MO-OTH-021,Not started,,MOTO Portal,"Checklist status, completed tasks, pending tasks",/moto/onboarding/status,,,派遣元ポータル,設定,導入準備状況を確認する。,チェックリスト状態、完了タスク、未完了タスク
利用料金一覧,MO-OTH-022-API-01-Get Usage Billing List (https://www.notion.so/MO-OTH-022-API-01-Get-Usage-Billing-List-36bf02c407dd8014ae8fd0417c1b23a9?pvs=21),,Danh sách dung lượng sử dụng,SaaS usage billing,,Usage Billing List,MO-OTH-022,Not started,,MOTO Portal,"Billing period, usage amount, exported file",/moto/system-billing/export,,,派遣元ポータル,利用料金管理,システム利用料金明細データを出力する。,"利用期間、利用料金、出力ファイル
ご利用料金明細DL"
バッチ実行履歴,MO-BAT-001-API-01-Get Batch Execution History (https://www.notion.so/MO-BAT-001-API-01-Get-Batch-Execution-History-36bf02c407dd8049966af0e83c5e8004?pvs=21),,Xem lịch sử batch processing/background jobs.,Batch Processing,,Batch Execution History,MO-BAT-001,Not started,,MOTO Portal,"Batch name, execution status, execution datetime",/moto/batch/history,,,派遣元ポータル,バッチ処理,バッチ処理実行履歴を参照する。,バッチ名、実行状態、実行日時
ファイル取込結果,"MO-BAT-002-API-01-Upload File Import Result (https://www.notion.so/MO-BAT-002-API-01-Upload-File-Import-Result-36bf02c407dd807d9610cd3d7544de00?pvs=21), MO-BAT-002-API-02-Get Upload Result (https://www.notion.so/MO-BAT-002-API-02-Get-Upload-Result-36bf02c407dd8041b4c4f624787ba4d1?pvs=21)",,Xem kết quả import file hàng loạt.,Batch Processing,,File Import Result,MO-BAT-002,Not started,,MOTO Portal,"Imported file, success count, error count",/moto/batch/import-results,,,派遣元ポータル,バッチ処理,ファイル取込結果を参照する。,取込ファイル、成功件数、エラー件数
検証エラー一覧,"MO-BAT-003-API-01-Upload Validation Error List (https://www.notion.so/MO-BAT-003-API-01-Upload-Validation-Error-List-36bf02c407dd804db678e97b77da9a04?pvs=21), MO-BAT-003-API-02-Get Upload Result (https://www.notion.so/MO-BAT-003-API-02-Get-Upload-Result-36bf02c407dd8019b9cdf8ece298fbca?pvs=21)",,Danh sách validation errors sau upload/import.,Batch Processing,,Validation Error List,MO-BAT-003,Not started,,MOTO Portal,"Error row, error reason, target field",/moto/batch/validation-errors,,,派遣元ポータル,バッチ処理,アップロード・取込時の検証エラー一覧を表示する。,エラー行、エラー内容、対象項目
非同期処理状況,MO-BAT-004-API-01-Get Async Job Status (https://www.notion.so/MO-BAT-004-API-01-Get-Async-Job-Status-36bf02c407dd80b4a15ceb4bac00f16d?pvs=21),,Theo dõi async jobs/background processing.,Batch Processing,,Async Job Status,MO-BAT-004,Not started,,MOTO Portal,"Job queue, processing status, retry count",/moto/batch/jobs,,,派遣元ポータル,バッチ処理,非同期処理ジョブ状態を確認する。,ジョブキュー、処理状態、リトライ回数
エラーCSV DL,MO-BAT-005-API-01-Export CSV Error Download (https://www.notion.so/MO-BAT-005-API-01-Export-CSV-Error-Download-36bf02c407dd80d5a43fe4145cfce03d?pvs=21),,Download CSV chứa error records.,Batch Processing,,CSV Error Download,MO-BAT-005,Not started,,MOTO Portal,"Error CSV file, generated datetime",/moto/batch/error-csv,,,派遣元ポータル,バッチ処理,エラー内容をCSV形式でダウンロードする。,エラーCSVファイル、生成日時
取引先企業詳細,,,Chi tiết cấu hình e-TimeCard của SAKI/company.,e-TimeCard(対象外),,Client Company Detail,MO-ETC-003,Not started,,MOTO Portal,"Domain, approval workflow, attendance rule, closing date",/moto/e-timecard/companies/:id,,,派遣元ポータル,e-TimeCard,取引先企業のe-TimeCard設定詳細を表示する。,ドメイン、承認フロー、勤怠ルール、締日
ドメイン管理,,,Quản lý domain/login scope cho attendance approval.,e-TimeCard(対象外),,Domain Management,MO-ETC-004,Not started,,MOTO Portal,"Domain name, login type, active status",/moto/e-timecard/domains,,,派遣元ポータル,e-TimeCard,e-TimeCardドメインを管理する。,ドメイン名、ログイン種別、利用状態
ログイン,SA-AUTH-001-API-01-Login (https://www.notion.so/SA-AUTH-001-API-01-Login-36bf02c407dd80669d35d14d03b477b7?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Đăng nhập hệ thống SAKI.,Common,,Login,SA-AUTH-001,Not started,,SAKI Portal,"Login ID, password, error message",/saki/login,Untitled (https://www.notion.so/374f02c407dd80089717d0233edb23f8?pvs=21),,派遣先ポータル,共通,"派遣先ユーザーがシステムへログインする。
追記）
多要素認証が発生する場合、多要素認証の情報も入力する",ログインID、パスワード、エラーメッセージ
ログアウト,,ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Logout khỏi hệ thống.,Common,,Logout,SA-AUTH-002,Not started,,SAKI Portal,"Login user, logout datetime",/saki/logout,,,派遣先ポータル,共通,システムからログアウトする。,ログインユーザー、ログアウト日時
パスワード変更,SA-AUTH-003-API-01-Change Password (https://www.notion.so/SA-AUTH-003-API-01-Change-Password-36bf02c407dd80e9ab79f21d0e755c56?pvs=21),"ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",Đổi password user hiện tại.,Common,,Change Password,SA-AUTH-003,Not started,,SAKI Portal,"Current password, new password",/saki/change-password,,,派遣先ポータル,共通,ログインユーザーのパスワードを変更する。,現在パスワード、新パスワード
パスワード初期化,SA-AUTH-004-API-01-Password Reset (https://www.notion.so/SA-AUTH-004-API-01-Password-Reset-36bf02c407dd80e0a1c2f1b83c91e1ad?pvs=21),テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21),Reset password user.,Common,,Password Reset,SA-AUTH-004,Not started,,SAKI Portal,"Target user, reset result",/saki/password-reset,,,派遣先ポータル,共通,ユーザーパスワードを初期化する。,対象ユーザー、初期化結果
通知一覧,SA-COM-005-API-01-Notification Center (https://www.notion.so/SA-COM-005-API-01-Notification-Center-36bf02c407dd80318287c17e15680413?pvs=21),,Danh sách notification và alert.,Common,,Notification Center,SA-COM-005,Not started,,SAKI Portal,"Notification title, category, sent datetime",/saki/notifications,,,派遣先ポータル,共通,システム通知・アラート一覧を表示する。,通知タイトル、通知種別、送信日時
ログイン履歴,SA-AUTH-006-API-01-Login History (https://www.notion.so/SA-AUTH-006-API-01-Login-History-36bf02c407dd80e0ae16c166e5942141?pvs=21),ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),Xem login history.,Common,,Login History,SA-AUTH-006,Not started,,SAKI Portal,"Login datetime, IP address, logout datetime",/saki/login-history,,,派遣先ポータル,共通,ログイン履歴を参照する。,ログイン日時、IPアドレス、ログアウト日時
ダウンロード履歴,SA-COM-007-API-01-Download History (https://www.notion.so/SA-COM-007-API-01-Download-History-36bf02c407dd803b8aaae5935471a084?pvs=21),,Lịch sử download/export file.,Common,,Download History,SA-COM-007,Not started,,SAKI Portal,"Downloaded file, operator, datetime",/saki/download-history,,,派遣先ポータル,共通,ダウンロード履歴を参照する。,DLファイル、操作者、日時
アップロード履歴,SA-COM-008-API-01-Upload History (https://www.notion.so/SA-COM-008-API-01-Upload-History-36bf02c407dd803da806e6e34a31cb4b?pvs=21),,Lịch sử upload file.,Common,,Upload History,SA-COM-008,Not started,,SAKI Portal,"Uploaded file, upload datetime, result status",/saki/upload-history,,,派遣先ポータル,共通,アップロード履歴を参照する。,アップロードファイル、アップロード日時、結果状態
アップロード結果,SA-COM-009-API-01-Upload Result (https://www.notion.so/SA-COM-009-API-01-Upload-Result-36bf02c407dd805bb2accd38f38b4a85?pvs=21),,Xem kết quả upload/import file.,Common,,Upload Result,SA-COM-009,Not started,,SAKI Portal,"Validation result, success count, error count",/saki/upload-results,,,派遣先ポータル,共通,アップロード結果を参照する。,検証結果、成功件数、エラー件数
検証エラー一覧,SA-COM-010-API-01-Validation Error List (https://www.notion.so/SA-COM-010-API-01-Validation-Error-List-36bf02c407dd80f4bb96cd4eb0f0ce83?pvs=21),,Danh sách validation errors.,Common,,Validation Error List,SA-COM-010,Not started,,SAKI Portal,"Error row, target field, error message",/saki/validation-errors,,,派遣先ポータル,共通,検証エラー一覧を表示する。,エラー行、対象項目、エラー内容
操作履歴,SA-COM-011-API-01-Audit Log (https://www.notion.so/SA-COM-011-API-01-Audit-Log-36bf02c407dd809998f9eb113be176e7?pvs=21),,Audit thao tác user.,Common,,Audit Log,SA-COM-011,Not started,,SAKI Portal,"Operator, operation type, target screen",/saki/audit-log,,,派遣先ポータル,共通,ユーザー操作履歴を参照する。,操作者、操作種別、対象画面
派遣照会一覧,SA-REQ-001-API-01-Staffing Request List (https://www.notion.so/SA-REQ-001-API-01-Staffing-Request-List-36bf02c407dd806d811dd9fb68437671?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Danh sách staffing requests.,Request Management,,Staffing  Request List,SA-REQ-001,Not started,,SAKI Portal,"Request No, status, created date, deadline",/saki/requests,Untitled (https://www.notion.so/374f02c407dd801f9eb0f6b80a1be9df?pvs=21),,派遣先ポータル,派遣照会,派遣照会一覧を表示する。,派遣照会番号、状態、作成日、回答期限
派遣照会詳細,"SA-REQ-002-API-01-Staffing Request Detail (https://www.notion.so/SA-REQ-002-API-01-Staffing-Request-Detail-36bf02c407dd80809c0be1d9042b479a?pvs=21), SA-REQ-005-API-01-Staffing Cancel Request (https://www.notion.so/SA-REQ-005-API-01-Staffing-Cancel-Request-36bf02c407dd802f85dfe67f648f21ea?pvs=21), SA-REQ-006-API-01-Estimate List (https://www.notion.so/SA-REQ-006-API-01-Estimate-List-36bf02c407dd8087aab2e101b9b3a901?pvs=21), SA-REQ-007-API-01-Estimate Detail (https://www.notion.so/SA-REQ-007-API-01-Estimate-Detail-36bf02c407dd80139629d65121ce5a2a?pvs=21), SA-REQ-008-API-01-Estimate Compare (https://www.notion.so/SA-REQ-008-API-01-Estimate-Compare-36bf02c407dd80608fcbd44d7daf248f?pvs=21), SA-REQ-009-API-01-Estimate Export (https://www.notion.so/SA-REQ-009-API-01-Estimate-Export-36bf02c407dd80c08967e863ca84b23c?pvs=21), SA-REQ-010-API-01-Staffing Response List (https://www.notion.so/SA-REQ-010-API-01-Staffing-Response-List-36bf02c407dd805fb3b5d572d6553362?pvs=21), SA-REQ-011-API-01-Response Detail (https://www.notion.so/SA-REQ-011-API-01-Response-Detail-36bf02c407dd809795d5c89c351fbed8?pvs=21)","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",Xem chi tiết staffing request.,Request Management,,Staffing Request Detail,SA-REQ-002,Not started,,SAKI Portal,"Requirement, workplace, contract period",/saki/requests/:id,"Untitled (https://www.notion.so/374f02c407dd80c1bbfdf662ffca5e74?pvs=21), Untitled (https://www.notion.so/374f02c407dd80889f55dca7d91ad396?pvs=21)",,派遣先ポータル,派遣照会,派遣照会詳細を表示する。,募集条件、就業場所、契約期間
派遣照会作成,SA-REQ-003-API-01-Staffing Create Request (https://www.notion.so/SA-REQ-003-API-01-Staffing-Create-Request-36bf02c407dd80cbbdc4fabab0308b95?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21)",Tạo staffing request mới.,Request Management,,Staffing Create Request,SA-REQ-003,Not started,,SAKI Portal,"Requirement, headcount, contract period",/saki/requests/create,Untitled (https://www.notion.so/374f02c407dd8064aa00f3330ed2f9e0?pvs=21),,派遣先ポータル,派遣照会,新規派遣照会を作成する。,募集条件、必要人数、契約期間
派遣照会修正,SA-REQ-004-API-01-Staffing Edit Request (https://www.notion.so/SA-REQ-004-API-01-Staffing-Edit-Request-36bf02c407dd80e39459cf271c517e2c?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",Chỉnh sửa request trước khi finalized.,Request Management,,Staffing Edit Request,SA-REQ-004,Not started,,SAKI Portal,"Updated fields, modified datetime",/saki/requests/:id/edit,,,派遣先ポータル,派遣照会,派遣照会を修正する。,更新項目、更新日時
