画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
基本情報作成,勤怠基本設定を作成する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-007,Create Attendance Base Info,Tạo attendance base configuration.,/moto/e-timecard/base-info/create,勤怠ルール、締サイクル、勤務パターン,"Attendance rules, closing cycle, work pattern",,,,
基本情報修正,勤怠基本設定を編集する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-008,Edit Attendance Base Info,Chỉnh sửa attendance base settings.,/moto/e-timecard/base-info/:id/edit,更新ルール、修正項目,"Updated attendance rules, modified fields",,,,
基本情報取消,勤怠基本設定を取消する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-009,Cancel Attendance Base Info,Disable/cancel attendance config.,/moto/e-timecard/base-info/:id/cancel,取消理由、取消日時,"Cancel reason, canceled datetime",,,,
基本情報コピー,勤怠設定をコピー作成する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-010,Copy Attendance Base Info,Copy attendance config template.,/moto/e-timecard/base-info/:id/copy,コピー元設定、コピー対象項目,"Source config, copied fields",,,,
基本情報延長,勤怠設定期間を延長する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-011,Extend Attendance Base Info,Extend attendance config validity period.,/moto/e-timecard/base-info/:id/extend,現在期間、延長期間,"Current period, new period",,,,
承認ルート一覧,承認ルート一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-012,Approval Route List,Danh sách approval routes.,/moto/e-timecard/approval-routes,ルート名、承認段階、承認者,"Route name, approval steps, assigned approvers",,,,
承認ルート詳細,承認ルート詳細を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-013,Approval Route Detail,Chi tiết approval workflow.,/moto/e-timecard/approval-routes/:id,承認段階、承認条件,"Approval levels, approval conditions",,,,
承認者一括変更,承認者を一括変更する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-014,Bulk Approver Update,Thay đổi approver hàng loạt.,/moto/e-timecard/approvers/bulk-update,対象ルート、新承認者、更新結果,"Target routes, new approver, update result",,,,
勤怠ルール設定,勤怠計算ルールを設定する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-015,Attendance Rule Master,Thiết lập attendance calculation rules.,/moto/e-timecard/rules,残業ルール、休憩ルール、丸めルール,"Overtime rule, break rule, rounding rule",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
締日設定,勤怠締日を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-016,Closing Date Setting,Thiết lập closing cycle/date.,/moto/e-timecard/closing-settings,締日、承認期限,"Closing day, approval deadline",,,,
勤怠ワークフロー設定,勤怠ワークフローを設定する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-017,Attendance Workflow Setting,Thiết lập attendance workflow process.,/moto/e-timecard/workflows,ワークフロー段階、通知タイミング,"Workflow steps, notification timing",,,,
テンプレートDL,CSVテンプレートをダウンロードする。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-018,CSV Template Download,Download CSV templates.,/moto/e-timecard/templates,テンプレート種別、バージョン,"Template type, version",,,,
基本情報アップロード,勤怠基本設定をアップロードする。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-019,Attendance Config Upload,Upload attendance base configuration.,/moto/e-timecard/upload,アップロードファイル、処理状態,"Uploaded file, processing status",,,,
アップロード結果一覧,アップロード結果一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-020,Upload Result List,Danh sách upload results.,/moto/e-timecard/upload-results,アップロードファイル、検証結果、成功件数、エラー件数,"Upload file, validation result, success/error count",,,,
検証エラー詳細,検証エラー詳細を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-021,Validation Error Detail,Chi tiết validation errors.,/moto/e-timecard/validation-errors,エラー行、対象項目、エラー内容,"Error row, error field, error message",,,,
設定変更履歴,勤怠設定変更履歴を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-022,Attendance Config History,Lịch sử thay đổi attendance config.,/moto/e-timecard/history,変更項目、変更前後値、操作者,"Changed item, before/after value, operator",,,,
勤怠アラート一覧,勤怠アラートを表示する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-023,Attendance Alert Dashboard,Dashboard cảnh báo attendance rule violation.,/moto/e-timecard/alerts,残業警告、未承認、締切警告,"Overtime warning, missing approval, deadline alert",,,,
e-TimeCard通知設定,勤怠通知設定を管理する。,Not started,MOTO Portal,派遣元ポータル,MO-ETC-024,e-TimeCard Notification Setting,Thiết lập mail/push notifications cho attendance workflow.,/moto/e-timecard/notification-settings,通知種別、送信対象、送信タイミング,"Notification type, target role, send timing",,,,
追加導入手続き,追加導入手続きを行う。,Not started,MOTO Portal,派遣元ポータル,MO-OTH-020,Additional Onboarding Procedure,Thực hiện thủ tục onboarding/additional setup.,/moto/onboarding/procedure,導入状態、手続きステップ、契約状態,"Setup status, onboarding step, agreement status",,,,MO-OTH-020-API-01-Get Additional Onboarding Procedure (https://www.notion.so/MO-OTH-020-API-01-Get-Additional-Onboarding-Procedure-36bf02c407dd80fd95ecfb7eeb9aa081?pvs=21)
導入準備状況,導入準備状況を確認する。,Not started,MOTO Portal,派遣元ポータル,MO-OTH-021,Onboarding Preparation Status,Dashboard trạng thái onboarding/setup.,/moto/onboarding/status,チェックリスト状態、完了タスク、未完了タスク,"Checklist status, completed tasks, pending tasks",,,,MO-OTH-021-API-01-Get Onboarding Preparation Status (https://www.notion.so/MO-OTH-021-API-01-Get-Onboarding-Preparation-Status-36bf02c407dd80b2b337f44cbf6fdff9?pvs=21)
利用料金一覧,システム利用料金明細データを出力する。,Not started,MOTO Portal,派遣元ポータル,MO-OTH-022,Usage Billing List,Danh sách dung lượng sử dụng,/moto/system-billing/export,"利用期間、利用料金、出力ファイル
ご利用料金明細DL","Billing period, usage amount, exported file",,,,MO-OTH-022-API-01-Get Usage Billing List (https://www.notion.so/MO-OTH-022-API-01-Get-Usage-Billing-List-36bf02c407dd8014ae8fd0417c1b23a9?pvs=21)
派遣照会一覧,派遣先から受信した派遣照会一覧を表示し、検索・絞込・詳細参照・CSV出力を行う,Not started,MOTO Portal,派遣元ポータル,MO-REQ-001,Request List,"Danh sách staffing request từ SAKI, hỗ trợ search/filter/export/detail",/moto/requests,派遣照会番号、取引先名、回答期限、ステータス、必要人数,"Request No, client name, deadline, request status, required headcount","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",,,MO-REQ-001-API-01-Export Request List (https://www.notion.so/MO-REQ-001-API-01-Export-Request-List-36bf02c407dd80b9af2cfa88c3b4bda0?pvs=21)
派遣照会詳細,派遣照会詳細および募集条件を表示する,Not started,MOTO Portal,派遣元ポータル,MO-REQ-002,Request Detail,Xem chi tiết staffing request và requirement,/moto/requests/:id,業務内容、必要スキル、就業場所、シフト、契約期間,"Job description, required skill, workplace, shift, contract period","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",,,"MO-REQ-002-API-02-Get Request Detail (https://www.notion.so/MO-REQ-002-API-02-Get-Request-Detail-36bf02c407dd8009ac1ffd9d517da895?pvs=21), MO-REQ-002-API-01-Get Request List (https://www.notion.so/MO-REQ-002-API-01-Get-Request-List-374f02c407dd8074939ace24393f17c6?pvs=21)"
見積回答,見積回答を登録・提出する,Not started,MOTO Portal,派遣元ポータル,MO-REQ-003,Estimate Response,Tạo và submit estimate response,/moto/requests/:id/estimate,見積金額、契約条件、コメント、提出状況,"Estimate amount, contract condition, response comment, submit status","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",,,MO-REQ-003-API-01-Submit/Process Estimate Response (https://www.notion.so/MO-REQ-003-API-01-Submit-Process-Estimate-Response-36bf02c407dd8066ad58d547cb4c56b5?pvs=21)
派遣照会回答,派遣照会へスタッフ回答を行う,Not started,MOTO Portal,派遣元ポータル,MO-REQ-004,Staffing Response,Submit staff cho staffing request,/moto/requests/:id/response,割当スタッフ、回答状態、コメント,"Assigned staff, response status, response comment","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",,,MO-REQ-004-API-01-Submit/Process Staffing Response (https://www.notion.so/MO-REQ-004-API-01-Submit-Process-Staffing-Response-36bf02c407dd80569a08eea8e1ff7e81?pvs=21)
 見積/派遣照会回答履歴,見積・派遣照会への回答履歴を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-REQ-005,Response History,Xem lịch sử trả lời 見積/派遣照会.,/moto/requests/:id/response-history,回答者、回答日時、回答内容、ステータス,"Người trả lời, thời gian trả lời, nội dung trả lời, trạng thái",Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,MO-REQ-005-API-01-Get Response History (https://www.notion.so/MO-REQ-005-API-01-Get-Response-History-36bf02c407dd80819af8c6474963835b?pvs=21)
派遣先一覧,取引中の派遣先企業一覧を表示し、検索・絞込・詳細参照・CSV出力を行う。,Not started,MOTO Portal,派遣元ポータル,MO-SAKI-001,Client List,Danh sách các 派遣先 đang giao dịch/kết nối với MOTO. Hỗ trợ search/filter/detail/export.,/moto/clients,会社名、取引状態、稼働契約数、進行中派遣照会数、請求状態,"Tên công ty, trạng thái giao dịch, số contract active, số request active, billing status",,,,MO-SAKI-001-API-01-Export Client List (https://www.notion.so/MO-SAKI-001-API-01-Export-Client-List-36bf02c407dd806e924ad2d838743d0b?pvs=21)
派遣先詳細,派遣先企業の詳細情報および取引履歴を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-SAKI-002,Client Detail,Xem chi tiết 派遣先 và lịch sử giao dịch.,/moto/clients/:id,会社情報、稼働契約、派遣照会履歴、請求履歴、勤怠状況,"Company profile, active contracts, request history, billing history, attendance status",,,,MO-SAKI-002-API-01-Get Client Detail (https://www.notion.so/MO-SAKI-002-API-01-Get-Client-Detail-36bf02c407dd80d99a77eef54479882b?pvs=21)
派遣先契約一覧,派遣先ごとの契約一覧を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-SAKI-003,Client Contract List,Danh sách contract theo 派遣先.,/moto/clients/:id/contracts,契約番号、スタッフ人数、契約期間、請求金額,"Contract No, staff count, contract period, billing amount",,,,MO-SAKI-003-API-01-Get Client Contract List (https://www.notion.so/MO-SAKI-003-API-01-Get-Client-Contract-List-36bf02c407dd80cbb725c4124fbc3c4e?pvs=21)
派遣照会履歴,派遣先からの派遣照会履歴を表示する。,Not started,MOTO Portal,派遣元ポータル,MO-SAKI-004,Client Request History,Lịch sử staffing request từ 派遣先.,/moto/clients/:id/requests,派遣照会件数、回答状態、作成日時,"Request count, response status, created datetime",,,,MO-SAKI-004-API-01-Get Client Request History (https://www.notion.so/MO-SAKI-004-API-01-Get-Client-Request-History-36bf02c407dd80ce8f28c951d804e385?pvs=21)
取引派遣先設定,派遣先との取引設定を管理する。,Not started,MOTO Portal,派遣元ポータル,MO-SAKI-005,Trading Client Setting,Enable/disable/config 派遣先 usage.,/moto/clients/:id/settings,接続状態、利用機能、通知設定,"Connection status, available features, notification setting",,,,"MO-SAKI-005-API-01-Get Trading Client Setting (https://www.notion.so/MO-SAKI-005-API-01-Get-Trading-Client-Setting-36bf02c407dd80608545dbca79712ac8?pvs=21), MO-SAKI-005-API-02-Update Trading Client Setting (https://www.notion.so/MO-SAKI-005-API-02-Update-Trading-Client-Setting-36bf02c407dd80879a6ceb01cda768bf?pvs=21)"
企業マスタ,企業情報を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-001,Company Master,Quản lý thông tin công ty,/moto/settings/company,会社名、住所、税番号、連絡先,"Company name, address, tax code, contact info",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-001-API-01-Get Company Master (https://www.notion.so/MO-SET-001-API-01-Get-Company-Master-36bf02c407dd8001ab7ef44f88a46cc4?pvs=21), MO-SET-001-API-02-Update Company Master (https://www.notion.so/MO-SET-001-API-02-Update-Company-Master-36bf02c407dd805e9dbde3cf670fdb7c?pvs=21)"
事業所マスタ,事業所情報を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-002,Branch Master,Quản lý branch,/moto/settings/branches,事業所名、住所、責任者,"Branch name, address, manager",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-002-API-01-Get Branch Master (https://www.notion.so/MO-SET-002-API-01-Get-Branch-Master-36bf02c407dd809ab379f0433960c2da?pvs=21), MO-SET-002-API-02-Update Branch Master (https://www.notion.so/MO-SET-002-API-02-Update-Branch-Master-36bf02c407dd805a9fa0e7a57600de58?pvs=21)"
部署マスタ,部署情報を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-003,Department Master,Quản lý department,/moto/settings/departments,部署階層、管理者,"Department hierarchy, manager",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-003-API-01-Get Department Master (https://www.notion.so/MO-SET-003-API-01-Get-Department-Master-36bf02c407dd803d9e71c5bc5bf91575?pvs=21), MO-SET-003-API-02-Update Department Master (https://www.notion.so/MO-SET-003-API-02-Update-Department-Master-36bf02c407dd80f2ae20dca49d68f106?pvs=21)"
ユーザーマスタ,システムユーザーを管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-004,User Master,Quản lý user hệ thống,/moto/settings/users,ユーザー名、権限、アカウント状態,"User name, role, account status","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,"MO-SET-004-API-01-Get User Master (https://www.notion.so/MO-SET-004-API-01-Get-User-Master-36bf02c407dd80ee928bd1879bfa709f?pvs=21), MO-SET-004-API-02-Update User Master (https://www.notion.so/MO-SET-004-API-02-Update-User-Master-36bf02c407dd80f18521c2a4626caba2?pvs=21)"
権限マスタ,権限情報を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-005,Role Master,Quản lý RBAC,/moto/settings/roles,権限名、権限数、割当ユーザー数,"Role name, permission count, assign users","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,"MO-SET-005-API-01-Get Role Master (https://www.notion.so/MO-SET-005-API-01-Get-Role-Master-36bf02c407dd800fb3d5e6a3a6b5651b?pvs=21), MO-SET-005-API-02-Update Role Master (https://www.notion.so/MO-SET-005-API-02-Update-Role-Master-36bf02c407dd808bac29eaafff2370f5?pvs=21)"
勤怠区分マスタ,勤怠区分マスタを管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-006,Attendance Type Master,Quản lý attendance type,/moto/settings/attendance-types,勤怠コード、残業区分、有給区分,"Attendance code, OT flag, paid leave flag",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-006-API-01-Get Attendance Type Master (https://www.notion.so/MO-SET-006-API-01-Get-Attendance-Type-Master-36bf02c407dd80faab49d7a9c5df970b?pvs=21), MO-SET-006-API-02-Update Attendance Type Master (https://www.notion.so/MO-SET-006-API-02-Update-Attendance-Type-Master-36bf02c407dd804d822cfff9f7a4f6b0?pvs=21)"
就業場所区分マスタ,就業場所区分を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-007,Workplace Type Master,Quản lý workplace type,/moto/settings/workplace-types,就業場所区分、利用状態,"Workplace category, active flag",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-007-API-01-Get Workplace Type Master (https://www.notion.so/MO-SET-007-API-01-Get-Workplace-Type-Master-36bf02c407dd801e834bc1d2caa205cc?pvs=21), MO-SET-007-API-02-Update Workplace Type Master (https://www.notion.so/MO-SET-007-API-02-Update-Workplace-Type-Master-36bf02c407dd803b8af7c2a9ff81d38f?pvs=21)"
メール・アラーム設定,メール通知・アラーム設定を管理する,Not started,MOTO Portal,派遣元ポータル,MO-SET-008,Mail Alert Setting,Thiết lập mail notification,/moto/settings/mail-alerts,メールテンプレート、送信条件、送信先,"Mail template, trigger condition, receivers",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-008-API-01-Get Mail Alert Setting (https://www.notion.so/MO-SET-008-API-01-Get-Mail-Alert-Setting-36bf02c407dd800a9231ddd8d4d690f0?pvs=21), MO-SET-008-API-02-Update Mail Alert Setting (https://www.notion.so/MO-SET-008-API-02-Update-Mail-Alert-Setting-36bf02c407dd80e9b79bd1b99b44bd3b?pvs=21)"
契約書初期値設定,契約書の初期値および文言を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-SET-010,Contract Default Setting,Thiết lập default contract values và wording.,/moto/settings/contract-defaults,デフォルト契約期間、残業条件、備考、契約文言,"Default contract period, OT rule, default memo, contract wording",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-010-API-01-Get Contract Default Setting (https://www.notion.so/MO-SET-010-API-01-Get-Contract-Default-Setting-36bf02c407dd80f786acea7c580dedb7?pvs=21), MO-SET-010-API-02-Update Contract Default Setting (https://www.notion.so/MO-SET-010-API-02-Update-Contract-Default-Setting-36bf02c407dd805c9c29e868543136b2?pvs=21)"
ファイルレイアウト設定,CSVアップロード・ダウンロードの列定義を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-SET-011,File Layout Setting,Thiết lập mapping column cho CSV upload/download.,/moto/settings/file-layouts,ファイル種別、列マッピング、必須項目フラグ,"File type, column mapping, required column flag",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-011-API-01-Upload File Layout Setting (https://www.notion.so/MO-SET-011-API-01-Upload-File-Layout-Setting-36bf02c407dd80978054f6349e98b078?pvs=21), MO-SET-011-API-02-Get Upload Result (https://www.notion.so/MO-SET-011-API-02-Get-Upload-Result-36bf02c407dd80a888afc2a9f6dc7315?pvs=21)"
請求書送付先設定,システム利用料金請求書の送付先を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-SET-020,Billing Destination Setting,Thiết lập địa chỉ/mail nhận invoice hệ thống.,/moto/settings/billing-destination,請求先会社、住所、送信先メール,"Billing destination company, address, receiver email",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-020-API-01-Get Billing Destination Setting (https://www.notion.so/MO-SET-020-API-01-Get-Billing-Destination-Setting-36bf02c407dd8016bbfcc197d546c69e?pvs=21), MO-SET-020-API-02-Update Billing Destination Setting (https://www.notion.so/MO-SET-020-API-02-Update-Billing-Destination-Setting-36bf02c407dd8033947bcb4141f909d6?pvs=21)"
ユーザー編集可能項目設定,ユーザー編集可能項目を設定する。,Not started,MOTO Portal,派遣元ポータル,MO-SET-021,Editable User Field Setting,Thiết lập field nào user được edit.,/moto/settings/user-editable-fields,編集可能項目、権限設定、制限制御,"Editable fields, role mapping, restriction rules",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,"MO-SET-021-API-01-Get Editable User Field Setting (https://www.notion.so/MO-SET-021-API-01-Get-Editable-User-Field-Setting-36bf02c407dd80adb61fc119e308c17f?pvs=21), MO-SET-021-API-02-Update Editable User Field Setting (https://www.notion.so/MO-SET-021-API-02-Update-Editable-User-Field-Setting-36bf02c407dd8021bd48d317ba18726f?pvs=21)"
スタッフ一覧,スタッフ一覧を表示する,Not started,MOTO Portal,派遣元ポータル,MO-STF-001,Staff List,Danh sách staff,/moto/staff,スタッフコード、氏名、状態、稼働契約数,"Staff code, full name, status, active contract count","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21), スタッフアカウント管理フローグインフロ (https://www.notion.so/362f02c407dd8085b955e3658a48e843?pvs=21)",,,MO-STF-001-API-01-Get Staff List (https://www.notion.so/MO-STF-001-API-01-Get-Staff-List-36bf02c407dd80539f9de0a359a2bddf?pvs=21)
スタッフ登録,スタッフを新規登録する,Not started,MOTO Portal,派遣元ポータル,MO-STF-002,Create Staff,Tạo staff mới,/moto/staff/create,個人情報、連絡先、緊急連絡先,"Personal info, contact info, emergency contact",,,,MO-STF-002-API-01-Create Create Staff (https://www.notion.so/MO-STF-002-API-01-Create-Create-Staff-36bf02c407dd807d99b1d466985ec5e1?pvs=21)
スキルシート,スタッフのスキルシートを管理する,Not started,MOTO Portal,派遣元ポータル,MO-STF-003,Staff Skill Sheet,Quản lý skill sheet staff,/moto/staff/:id/skills,スキル、資格、経験、語学レベル,"Skills, certifications, experiences, language level",,,,MO-STF-003-API-01-Get Staff Skill Sheet (https://www.notion.so/MO-STF-003-API-01-Get-Staff-Skill-Sheet-36bf02c407dd80cd9e56f4b4dfd2340c?pvs=21)
スタッフアカウント管理,"  • Account発行
  • スタッフPW初期化
  • スタッフロック解除",Not started,MOTO Portal,派遣元ポータル,MO-STF-004,Staff Detail,Staff Account,/moto/staff,スタッフコード、氏名、状態、稼働契約数,"Staff code, full name, status, active contract count",,,,"MO-STF-004-API-01-Get Staff Account Managerment (https://www.notion.so/MO-STF-004-API-01-Get-Staff-Account-Managerment-36bf02c407dd8060ab09c93ac43402be?pvs=21), MO-STF-006-API-01-Get Staff Employment History (https://www.notion.so/MO-STF-006-API-01-Get-Staff-Employment-History-36bf02c407dd809cbf11f0e7076308ad?pvs=21), MO-STF-005-API-01-Get Staff Attendance Status (https://www.notion.so/MO-STF-005-API-01-Get-Staff-Attendance-Status-36bf02c407dd80588be0d83eb3265f23?pvs=21), MO-STF-003-API-01-Get Staff Skill Sheet (https://www.notion.so/MO-STF-003-API-01-Get-Staff-Skill-Sheet-36bf02c407dd80cd9e56f4b4dfd2340c?pvs=21)"
スタッフ勤怠状況,Staff Attendance Status,Not started,MOTO Portal,派遣元ポータル,MO-STF-005,Staff Attendance Status,Staff Attendance Status,/moto/staff,スタッフコード、氏名、状態、稼働契約数,"Staff code, full name, status, active contract count",,,,MO-STF-005-API-01-Get Staff Attendance Status (https://www.notion.so/MO-STF-005-API-01-Get-Staff-Attendance-Status-36bf02c407dd80588be0d83eb3265f23?pvs=21)
スタッフ契約履歴,Staff Employment History,Not started,MOTO Portal,派遣元ポータル,MO-STF-006,Staff Employment History,Staff Employment History,/moto/staff,スタッフコード、氏名、状態、稼働契約数,"Staff code, full name, status, active contract count",,,,MO-STF-006-API-01-Get Staff Employment History (https://www.notion.so/MO-STF-006-API-01-Get-Staff-Employment-History-36bf02c407dd809cbf11f0e7076308ad?pvs=21)
ログイン,,Not started,Platform SaaS Admin,,PA-AU-001,Login,Đăng nhập hệ thống,/admin/login,,,,,,
ログイン,アカウント・パスワードによるログインを行う。ロック制御・セッション管理対応。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-AUTH-001,Login,Đăng nhập hệ thống bằng account/password; hỗ trợ lock control và remember session.,/admin/login,,,,,,
アップロード履歴,アップロード履歴を参照する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BAT-001,Upload History,Upload history viewer,/admin/uploads,アップロードファイル、操作者、日時,"Uploaded file, operator, datetime","テナント契約管理フロー (https://www.notion.so/362f02c407dd809eafb6dc53b21e0cff?pvs=21), テナント導入フロー (https://www.notion.so/362f02c407dd80568ef0e86fed11ca17?pvs=21)",,,
アップロード結果,アップロード結果を参照する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BAT-002,Upload Result,Upload result viewer,/admin/upload-results,検証結果、成功件数,"Validation result, success count",,,,
バッチ実行履歴,バッチ実行履歴を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BAT-003,Batch Execution History,Batch execution history,/admin/batches,バッチ名、実行状態,"Batch name, execution status",,,,
キュー監視,キュージョブを監視する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BAT-004,Queue Monitoring,Monitor queue jobs,/admin/queues,キュー件数、失敗ジョブ,"Queue size, failed jobs",,,,
検証エラー一覧,アップロード検証エラー一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BAT-005,Validation Error List,Validation errors after upload,/admin/validation-errors,エラー行、エラー内容,"Error row, error message",,,,
利用料金ダッシュボード,SaaS利用料金状況を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-001,Billing Dashboard,Dashboard doanh thu SaaS,/admin/billing/dashboard,月間売上、未払い件数、入金済請求,"Monthly revenue, overdue count, paid invoices",,,,PA-BILL-001-API-01-Billing Dashboard Summary (https://www.notion.so/PA-BILL-001-API-01-Billing-Dashboard-Summary-28ccfea65ccb4e44b3dedfbede0fe7f1?pvs=21)
利用料金一覧,SaaS利用料金一覧を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-002,Usage Billing List,Danh sách billing SaaS,/admin/billing,テナント、請求月、請求額、支払状態,"Tenant, billing month, amount, payment status",,,,PA-BILL-002-API-01-Usage Billing List (https://www.notion.so/PA-BILL-002-API-01-Usage-Billing-List-368f02c407dd80fd9b74ea24b265c8ff?pvs=21)
利用料金詳細,SaaS利用料金詳細を表示する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-003,Usage Billing Detail,Chi tiết billing SaaS,/admin/billing/:id,利用明細、利用集計、請求詳細,"Billing detail, usage summary, invoice detail",,,,PA-BILL-003-API-01-Usage Billing Detail (https://www.notion.so/PA-BILL-003-API-01-Usage-Billing-Detail-368f02c407dd80b5a672e5eb661f2962?pvs=21)
請求書DL,利用料金請求書を出力する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-004,Billing Invoice Export,Export invoice PDF/CSV,/admin/billing/:id/export,請求書PDF、生成日時,"Invoice PDF, generated datetime",,,,PA-BILL-004-API-01-Export Billing Invoice (https://www.notion.so/PA-BILL-004-API-01-Export-Billing-Invoice-368f02c407dd80cbaa28e108726b4cd4?pvs=21)
支払管理,支払状況を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-005,Payment Status Management,Theo dõi payment status,/admin/payments,支払状態、支払日,"Paid/unpaid status, payment date",,,,PA-BILL-005-API-01-Payment Status Management (https://www.notion.so/PA-BILL-005-API-01-Payment-Status-Management-368f02c407dd80168322dd53b1894b99?pvs=21)
未払い管理,未払い請求を管理する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-BILL-006,Overdue Management,Quản lý overdue invoices,/admin/overdue,未払い日数、未払い金額,"Overdue days, overdue amount",,,,PA-BILL-006-API-01-Overdue Invoice Management (https://www.notion.so/PA-BILL-006-API-01-Overdue-Invoice-Management-368f02c407dd8024a8ccd1dc52aa9bde?pvs=21)
